CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code
18660,"Cortland, NY",Micropolitan Statistical Area,Cortland,36,18388
18700,"Corvallis, OR",Metropolitan Statistical Area,Corvallis,41,15800
18740,"Coshocton, OH",Micropolitan Statistical Area,Coshocton,39,18868
18780,"Craig, CO",Micropolitan Statistical Area,Craig,08,17760
18820,"Crawfordsville, IN",Micropolitan Statistical Area,Crawfordsville,18,15742
18860,"Crescent City, CA",Micropolitan Statistical Area,Crescent City,06,17022
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Crestview,12,15475
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Destin,12,17325
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Fort Walton Beach,12,24475
18900,"Crossville, TN",Micropolitan Statistical Area,Crossville,47,18540
18980,"Cullman, AL",Micropolitan Statistical Area,Cullman,01,18976
19000,"Cullowhee, NC",Micropolitan Statistical Area,Cullowhee,37,15880
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,Cumberland,24,21325
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Arlington,48,04000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Dallas,48,19000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Denton,48,19972
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Fort Worth,48,27000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Grapevine,48,30644
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Irving,48,37000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Plano,48,58016
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Richardson,48,61796
19140,"Dalton, GA",Metropolitan Statistical Area,Dalton,13,21380
19180,"Danville, IL",Metropolitan Statistical Area,Danville,17,18563
19220,"Danville, KY",Micropolitan Statistical Area,Danville,21,19882
19260,"Danville, VA",Micropolitan Statistical Area,Danville,51,21344
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Daphne,01,19648
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Fairhope,01,25240
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Foley,01,26992
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Gulf Shores,01,32272
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Moline,17,49867
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Rock Island,17,65078
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Davenport,19,19000
19420,"Dayton, TN",Micropolitan Statistical Area,Dayton,47,19700
19430,"Dayton-Kettering, OH",Metropolitan Statistical Area,Dayton,39,21000
19430,"Dayton-Kettering, OH",Metropolitan Statistical Area,Kettering,39,40040
19460,"Decatur, AL",Metropolitan Statistical Area,Decatur,01,20104
19500,"Decatur, IL",Metropolitan Statistical Area,Decatur,17,18823
19540,"Decatur, IN",Micropolitan Statistical Area,Decatur,18,17074
19580,"Defiance, OH",Micropolitan Statistical Area,Defiance,39,21308
19620,"Del Rio, TX",Micropolitan Statistical Area,Del Rio,48,19792
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Daytona Beach,12,16525
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,DeLand,12,16875
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Deltona,12,17200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Ormond Beach,12,53150
19700,"Deming, NM",Micropolitan Statistical Area,Deming,35,20270
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Aurora,08,04000
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Broomfield,08,09280
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Centennial,08,12815
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Commerce City,08,16495
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Denver,08,20000
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Lakewood,08,43000
19760,"DeRidder, LA",Micropolitan Statistical Area,DeRidder,22,20610
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Des Moines,19,21000
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,West Des Moines,19,83910
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Dearborn,26,21000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Detroit,26,22000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Farmington Hills,26,27440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Livonia,26,49000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Novi,26,59440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Pontiac,26,65440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Southfield,26,74900
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Taylor,26,79000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Troy,26,80700
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Warren,26,84000
19860,"Dickinson, ND",Micropolitan Statistical Area,Dickinson,38,19620
19940,"Dixon, IL",Micropolitan Statistical Area,Dixon,17,20162
19980,"Dodge City, KS",Micropolitan Statistical Area,Dodge City,20,18250
20020,"Dothan, AL",Metropolitan Statistical Area,Dothan,01,21184
20060,"Douglas, GA",Micropolitan Statistical Area,Douglas,13,23872
20100,"Dover, DE",Metropolitan Statistical Area,Dover,10,21200
20140,"Dublin, GA",Micropolitan Statistical Area,Dublin,13,24376
20180,"DuBois, PA",Micropolitan Statistical Area,DuBois,42,20136
20220,"Dubuque, IA",Metropolitan Statistical Area,Dubuque,19,22395
20260,"Duluth, MN-WI",Metropolitan Statistical Area,Duluth,27,17000
20300,"Dumas, TX",Micropolitan Statistical Area,Dumas,48,21556
20340,"Duncan, OK",Micropolitan Statistical Area,Duncan,40,21900
20420,"Durango, CO",Micropolitan Statistical Area,Durango,08,22035
20460,"Durant, OK",Micropolitan Statistical Area,Durant,40,22050
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Chapel Hill,37,11800
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Durham,37,19000
20540,"Dyersburg, TN",Micropolitan Statistical Area,Dyersburg,47,22200
20580,"Eagle Pass, TX",Micropolitan Statistical Area,Eagle Pass,48,21892
20660,"Easton, MD",Micropolitan Statistical Area,Easton,24,24475
