hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,MSA,"Ames, IA",11180,2017,4,203.06
traditional,all-transactions,MSA,"Ames, IA",11180,2018,1,199.44
traditional,all-transactions,MSA,"Ames, IA",11180,2018,2,208.34
traditional,all-transactions,MSA,"Ames, IA",11180,2018,3,207.41
traditional,all-transactions,MSA,"Ames, IA",11180,2018,4,205.53
traditional,all-transactions,MSA,"Ames, IA",11180,2019,1,210.98
traditional,all-transactions,MSA,"Ames, IA",11180,2019,2,214.23
traditional,all-transactions,MSA,"Ames, IA",11180,2019,3,215.22
traditional,all-transactions,MSA,"Ames, IA",11180,2019,4,216.78
traditional,all-transactions,MSA,"Ames, IA",11180,2020,1,217.36
traditional,all-transactions,MSA,"Ames, IA",11180,2020,2,218.08
traditional,all-transactions,MSA,"Ames, IA",11180,2020,3,220.93
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2015,1,291.09
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2015,2,294.71
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2015,3,302.13
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2015,4,305.93
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2016,1,308.68
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2016,2,312.33
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2016,3,318.01
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2016,4,321.32
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2017,1,324.5
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2017,2,330.55
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2017,3,334.76
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2017,4,338.93
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2018,1,344.0
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2018,2,349.38
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2018,3,352.8
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2018,4,352.69
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2019,1,354.25
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2019,2,356.64
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2019,3,358.86
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2019,4,360.98
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,1,363.49
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,2,367.67
traditional,all-transactions,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,3,370.77
traditional,all-transactions,MSA,"Anchorage, AK",11260,2015,1,217.46
traditional,all-transactions,MSA,"Anchorage, AK",11260,2015,2,219.29
traditional,all-transactions,MSA,"Anchorage, AK",11260,2015,3,223.82
traditional,all-transactions,MSA,"Anchorage, AK",11260,2015,4,223.24
traditional,all-transactions,MSA,"Anchorage, AK",11260,2016,1,224.3
traditional,all-transactions,MSA,"Anchorage, AK",11260,2016,2,224.57
traditional,all-transactions,MSA,"Anchorage, AK",11260,2016,3,225.32
traditional,all-transactions,MSA,"Anchorage, AK",11260,2016,4,223.99
traditional,all-transactions,MSA,"Anchorage, AK",11260,2017,1,225.01
traditional,all-transactions,MSA,"Anchorage, AK",11260,2017,2,225.58
traditional,all-transactions,MSA,"Anchorage, AK",11260,2017,3,226.57
traditional,all-transactions,MSA,"Anchorage, AK",11260,2017,4,229.28
traditional,all-transactions,MSA,"Anchorage, AK",11260,2018,1,224.81
traditional,all-transactions,MSA,"Anchorage, AK",11260,2018,2,226.79
traditional,all-transactions,MSA,"Anchorage, AK",11260,2018,3,229.3
traditional,all-transactions,MSA,"Anchorage, AK",11260,2018,4,228.6
traditional,all-transactions,MSA,"Anchorage, AK",11260,2019,1,230.41
traditional,all-transactions,MSA,"Anchorage, AK",11260,2019,2,232.84
traditional,all-transactions,MSA,"Anchorage, AK",11260,2019,3,234.67
traditional,all-transactions,MSA,"Anchorage, AK",11260,2019,4,234.34
traditional,all-transactions,MSA,"Anchorage, AK",11260,2020,1,238.79
traditional,all-transactions,MSA,"Anchorage, AK",11260,2020,2,239.07
traditional,all-transactions,MSA,"Anchorage, AK",11260,2020,3,241.96
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2015,1,166.8
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2015,2,172.19
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2015,3,174.64
