Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change
Oregon,41,2020,1,596.0,27.529999999999973,4.842823719809307
Oregon,41,2020,2,604.14,25.779999999999973,4.45743135763192
Oregon,41,2020,3,614.13,29.200000000000045,4.992050330808823
Oregon,41,2020,4,630.06,39.299999999999955,6.652447694495218
Pennsylvania,42,2020,1,455.96,23.060000000000002,5.326865326865328
Pennsylvania,42,2020,2,459.35,18.180000000000007,4.120860439286444
Pennsylvania,42,2020,3,469.54,22.480000000000018,5.028407819979425
Pennsylvania,42,2020,4,477.27,26.799999999999955,5.949341798565932
Rhode Island,44,2020,1,597.67,29.949999999999932,5.275487916578583
Rhode Island,44,2020,2,604.85,26.200000000000045,4.527780178000527
Rhode Island,44,2020,3,619.12,32.889999999999986,5.610425942036399
Rhode Island,44,2020,4,636.04,43.14999999999998,7.277909898969451
South Carolina,45,2020,1,420.05,23.79000000000002,6.00363397769142
South Carolina,45,2020,2,423.24,18.590000000000032,4.59409366118869
South Carolina,45,2020,3,430.23,20.860000000000014,5.095634755844349
South Carolina,45,2020,4,438.38,23.80000000000001,5.740749674369244
South Dakota,46,2020,1,406.55,20.02000000000004,5.179416862856709
South Dakota,46,2020,2,409.3,16.900000000000034,4.306829765545371
South Dakota,46,2020,3,415.25,17.829999999999984,4.486437522017005
South Dakota,46,2020,4,424.46,22.00999999999999,5.469002360541681
Tennessee,47,2020,1,412.5,24.670000000000016,6.36103447386742
Tennessee,47,2020,2,417.03,21.629999999999995,5.470409711684369
Tennessee,47,2020,3,426.48,24.980000000000018,6.221668742216692
Tennessee,47,2020,4,435.58,29.060000000000002,7.148479779592641
Texas,48,2020,1,351.38,16.850000000000023,5.036917466296004
Texas,48,2020,2,353.94,13.189999999999998,3.8708730741012465
Texas,48,2020,3,359.22,13.930000000000007,4.034290017087088
Texas,48,2020,4,366.73,18.900000000000034,5.433688871000212
Utah,49,2020,1,522.25,32.129999999999995,6.555537419407491
Utah,49,2020,2,531.61,31.150000000000034,6.22427366822524
Utah,49,2020,3,544.65,36.23999999999995,7.1281052693692
Utah,49,2020,4,562.73,46.680000000000064,9.045635112876672
Virginia,51,2020,1,489.67,22.610000000000014,4.840919796171801
Virginia,51,2020,2,495.75,19.230000000000018,4.035507428859233
Virginia,51,2020,3,503.87,22.45999999999998,4.665461872416439
Virginia,51,2020,4,512.36,27.470000000000027,5.665202417043046
Vermont,50,2020,1,509.43,24.660000000000025,5.086948449780314
Vermont,50,2020,2,512.19,19.380000000000052,3.9325500700067066
Vermont,50,2020,3,522.67,21.41999999999996,4.273316708229418
Vermont,50,2020,4,539.02,35.31999999999999,7.012110383164581
Washington,53,2020,1,677.82,38.59000000000003,6.036950706318544
Washington,53,2020,2,688.48,36.30000000000007,5.565948051151533
Washington,53,2020,3,703.95,43.49000000000001,6.584804530175939
Washington,53,2020,4,721.76,54.110000000000014,8.104545794952447
Wisconsin,55,2020,1,376.78,16.239999999999952,4.504354579242234
Wisconsin,55,2020,2,379.11,12.100000000000023,3.296912890656937
Wisconsin,55,2020,3,387.14,15.610000000000014,4.201544962721723
Wisconsin,55,2020,4,394.36,20.430000000000007,5.463589441874149
West Virginia,54,2020,1,240.29,11.280000000000001,4.925549102659273
West Virginia,54,2020,2,241.68,8.689999999999998,3.7297738100347644
West Virginia,54,2020,3,246.25,10.909999999999997,4.635846010028042
West Virginia,54,2020,4,249.55,11.610000000000014,4.879381356644538
Wyoming,56,2020,1,337.36,20.189999999999998,6.365671406501244
Wyoming,56,2020,2,340.42,14.600000000000023,4.481001780124002
Wyoming,56,2020,3,345.79,15.129999999999995,4.575697090667149
Wyoming,56,2020,4,351.68,16.430000000000007,4.900820283370621
