,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
1405,"Springfield, OH",44220,2020,4,181.7,13.389999999999986,7.955558196185601,2020.75,8988,134083,7115.0,67.03310635949374,53.064146834423454
1406,"State College, PA",44300,2020,1,239.93,8.77000000000001,3.793908980792529,2020.0,26,162385,26.0,0.1601133109585245,0.1601133109585245
1407,"State College, PA",44300,2020,2,244.16,9.349999999999994,3.9819428474085408,2020.25,201,162385,175.0,1.237799057794747,1.0776857468362226
1408,"State College, PA",44300,2020,3,244.55,6.360000000000014,2.670137285360432,2020.5,2710,162385,2509.0,16.688733565292363,15.450934507497614
1409,"State College, PA",44300,2020,4,247.39,7.5,3.1264329484346995,2020.75,8977,162385,6267.0,55.282199710564406,38.59346614527204
1410,"Staunton, VA",44420,2020,1,218.74,11.330000000000013,5.462610288799968,2020.0,2,22630,2.0,0.08837825894829872,0.08837825894829872
1411,"Staunton, VA",44420,2020,2,221.94,9.680000000000009,4.560444737585983,2020.25,340,123120,338.0,2.761533463287849,2.7452891487979207
1412,"Staunton, VA",44420,2020,3,224.88,11.319999999999991,5.300618093275891,2020.5,1056,123120,716.0,8.576998050682262,5.815464587394412
1413,"Staunton, VA",44420,2020,4,228.28,9.840000000000003,4.50466947445523,2020.75,6086,123120,5030.0,49.4314489928525,40.85445094217024
1414,"Stockton, CA",44700,2020,1,266.57,9.019999999999982,3.502232576198789,2020.0,151,762148,151.0,0.1981242488335599,0.1981242488335599
1415,"Stockton, CA",44700,2020,2,270.17,8.870000000000005,3.394565633371605,2020.25,3856,762148,3705.0,5.059384791405344,4.861260542571784
1416,"Stockton, CA",44700,2020,3,274.07,11.20999999999998,4.264627558396096,2020.5,20411,762148,16555.0,26.780887701601262,21.72150291019592
1417,"Stockton, CA",44700,2020,4,282.31,17.28000000000003,6.520016601894136,2020.75,45583,762148,25172.0,59.80859360649112,33.027705904889864
1418,"Sumter, SC",44940,2020,1,200.83,13.900000000000006,7.435938586636712,2020.0,64,140466,64.0,0.45562627254994087,0.45562627254994087
1419,"Sumter, SC",44940,2020,2,207.15,11.460000000000008,5.856201134447344,2020.25,1472,140466,1408.0,10.47940426864864,10.0237779960987
1420,"Sumter, SC",44940,2020,3,204.35,8.389999999999986,4.281486017554595,2020.5,4344,140466,2872.0,30.925633249327237,20.446228980678598
1421,"Sumter, SC",44940,2020,4,212.38,20.680000000000007,10.787689097548258,2020.75,7349,140466,3005.0,52.31871057764868,21.393077328321443
1422,"Syracuse, NY",45060,2020,1,186.76,11.47999999999999,6.549520766773156,2020.0,250,648593,250.0,0.38544973504185215,0.38544973504185215
1423,"Syracuse, NY",45060,2020,2,188.68,6.360000000000014,3.488372093023264,2020.25,3396,648593,3146.0,5.23594920080852,4.850499465766667
1424,"Syracuse, NY",45060,2020,3,195.57,11.799999999999985,6.421069815530273,2020.5,5424,648593,2028.0,8.362717451468024,3.1267682506595045
1425,"Syracuse, NY",45060,2020,4,200.65,14.789999999999992,7.957602496502739,2020.75,26860,648593,21436.0,41.412719532896595,33.05000208142857
1426,"Tacoma-Lakewood, WA (MSAD)",45104,2020,1,311.04,24.510000000000048,8.55407810700452,2020.0,353,904980,353.0,0.39006386881478045,0.39006386881478045
1427,"Tacoma-Lakewood, WA (MSAD)",45104,2020,2,318.31,23.0,7.788425722122515,2020.25,2887,904980,2534.0,3.190125748635329,2.8000618798205483
1428,"Tacoma-Lakewood, WA (MSAD)",45104,2020,3,327.6,26.390000000000043,8.761329305135966,2020.5,8972,904980,6085.0,9.914031249309376,6.723905500674048
1429,"Tacoma-Lakewood, WA (MSAD)",45104,2020,4,337.4,32.96999999999997,10.83007587951252,2020.75,27620,904980,18648.0,30.520011491966674,20.605980242657296
1430,"Tallahassee, FL",45220,2020,1,214.41,4.960000000000008,2.3681069467653417,2020.0,28,372981,28.0,0.07507084811290655,0.07507084811290655
1431,"Tallahassee, FL",45220,2020,2,221.79,16.47,8.021624780829924,2020.25,1600,387227,1572.0,4.131943278748642,4.05963427137054
1432,"Tallahassee, FL",45220,2020,3,224.45,11.28,5.291551343997749,2020.5,15178,387227,13578.0,39.196646928029296,35.06470364928066
1433,"Tallahassee, FL",45220,2020,4,227.92,11.259999999999993,5.197082987168832,2020.75,26660,387227,11482.0,68.84850488214923,29.651857954119937
1434,"Tampa-St. Petersburg-Clearwater, FL",45300,2020,1,318.3,21.720000000000027,7.32348776046936,2020.0,536,3194831,536.0,0.16777100259763347,0.16777100259763347
1435,"Tampa-St. Petersburg-Clearwater, FL",45300,2020,2,322.68,20.78000000000003,6.883073865518393,2020.25,19604,3194831,19068.0,6.136161818888072,5.968390816290439
1436,"Tampa-St. Petersburg-Clearwater, FL",45300,2020,3,330.59,22.46999999999997,7.292613267558084,2020.5,76926,3194831,57322.0,24.078268928779018,17.942107109890944
1437,"Tampa-St. Petersburg-Clearwater, FL",45300,2020,4,338.38,25.56,8.170833066939455,2020.75,151361,3194831,74435.0,47.37684090332164,23.29857197454263
1438,"Terre Haute, IN",45460,2020,1,171.78,6.699999999999989,4.058638236006777,2020.0,14,169430,14.0,0.08262999468807176,0.08262999468807176
1439,"Terre Haute, IN",45460,2020,2,174.61,7.100000000000023,4.2385529222136125,2020.25,370,186367,356.0,1.9853300208727942,1.910209425488418
1440,"Terre Haute, IN",45460,2020,3,177.39,8.069999999999993,4.766123316796595,2020.5,2822,186367,2452.0,15.142165726764933,13.156835705892139
1441,"Terre Haute, IN",45460,2020,4,183.51,10.399999999999975,6.0077407428802365,2020.75,15241,186367,12419.0,81.7794995895196,66.63733386275467
1442,"Texarkana, TX-AR",45500,2020,1,191.59,8.629999999999995,4.716878006121554,2020.0,10,136502,10.0,0.07325899986813379,0.07325899986813379
1443,"Texarkana, TX-AR",45500,2020,2,192.03,6.8300000000000125,3.687904967602599,2020.25,579,148761,569.0,3.8921491519954827,3.8249272322718992
1444,"Texarkana, TX-AR",45500,2020,3,201.09,13.909999999999997,7.4313495031520445,2020.5,2626,148761,2047.0,17.65247611941302,13.760326967417535
1445,"Texarkana, TX-AR",45500,2020,4,203.15,10.72,5.570856934989346,2020.75,7571,148761,4945.0,50.893715422725045,33.24123930331203
1446,"The Villages, FL",45540,2020,1,277.72,16.360000000000014,6.259565350474447,2020.0,51,132420,51.0,0.3851381966470322,0.3851381966470322
